,Date,Title,Link,News_description
1,"May 3, 2021 5:07:07 pm","
No charter flight for Australia players at this moment: CA Chief Hockley
",https://indianexpress.com/article/sports/ipl/no-charter-flight-for-australia-players-at-this-moment-ca-chief-hockley-7300400/,"Mumbai Indians batsman Chris Lynn had recently requested Cricket Australia to arrange for a charter flight for Australia players after the tournament concludes on May 30.
"
2,"May 3, 2021 5:07:07 pm","
PV Sindhu named as athlete ambassador for IOC’s ‘Believe in Sports’ campaign
",https://indianexpress.com/article/sports/badminton/pv-sindhu-ioc-believe-in-sports-athlete-ambassador-7300414/,"As part of the campaign, India's PV Sindhu and Canada's Michelle Li will be engaging with the badminton athlete community through online webinars and social media messages."
3,"May 3, 2021 5:07:07 pm","
Two members of CSK contingent, team bus cleaner test Covid-19 positive
",https://indianexpress.com/article/sports/ipl/two-members-of-csk-contingent-team-bus-cleaner-test-covid-19-positive-7300351/,The news broke soon after the BCCI rescheduled Monday’s game between Kolkata Knight Riders and Royal Challengers Bangalore as two KKR players - Varun Chakravarthy and Sandeep Warrier - tested positive.
4,"May 3, 2021 5:07:07 pm","
Sri Lanka all-rounder Thisara Perera retires from international cricket
",https://indianexpress.com/article/sports/cricket/thisara-perera-sri-lanka-international-cricket-retirement-7300350/,"The 32-year-old Perera, who represented Sri Lanka in six Tests, 166 ODIs and 84 T20s, is expected to keep playing franchise cricket around the world."
5,"May 3, 2021 5:07:07 pm","
Praveen Jayawickrama guides Sri Lanka to Test series win against Bangladesh
",https://indianexpress.com/article/sports/cricket/sri-lanka-vs-bangladesh-2nd-test-match-report-7300337/,Praveen Jayawickrama took a match haul of 11 wickets on debut to help Sri Lanka clinch a series win over Bangladesh on Monday with a 209-run victory in the second Test.
6,"May 3, 2021 5:07:07 pm","
IPL 2021 Preview: Resurgent MI favourites against bottom-placed SRH
",https://indianexpress.com/article/sports/ipl/ipl-2021-srh-vs-mi-hyderabad-vs-mumbai-preview-7300274/,"MI will enter the contest on the back of a four-wicket win over in-form CSK. On the other hand, SRH suffered a humiliating 55-run loss to RR on Sunday, their sixth in seven matches this season."
7,"May 3, 2021 5:07:07 pm","
ICC Rankings: India retain second spot in T20Is, drop to third in ODIs
",https://indianexpress.com/article/sports/cricket/icc-rankings-india-t20i-second-odi-third-annual-update-7300229/,"India are trailing top-ranked England by five rating points in the ICC T20I rankings. On the other hand, New Zealand have moved up from fifth to third, while Australia have moved down to fifth."
8,"May 3, 2021 5:07:07 pm","
BCCI stares at IPL rescheduling nightmare: KKR-RCB postponed after two players test positive for COVID-19
",https://indianexpress.com/article/sports/ipl/ipl-2021-kkr-vs-rcb-match-likely-to-be-cancelled-7300109/,Kolkata Knight Riders spinner Varun Chakravarthy and medium pacer Sandeep Warrier have tested positive for COVID-19.
9,"May 3, 2021 5:07:07 pm","
CA to donate AUD 50,000 to support India amid COVID-19 mayhem
",https://indianexpress.com/article/sports/cricket/ca-to-donate-aud-50000-to-support-india-amid-covid-19-mayhem-7300095/," ""Australian Cricket will throw its support behind India's COVID-19 Crisis Appeal, with Cricket Australia, the Australian Cricketers; Association and UNICEF Australia partnering to raise much needed funds,"" CA said in a statement.
"
10,"May 3, 2021 5:07:07 pm","
Lionel Messi brace sinks Valencia, keeps Barcelona close to top spot in La Liga
",https://indianexpress.com/article/sports/football/spanish-la-liga-messi-strikes-twice-in-2nd-half-to-keep-barcelona-near-top-7300003/,Lionel Messi scored two second-half goals on Sunday -- including his 50th from a free-kick -- as Barcelona came from behind to beat Valencia 3-2 and get within two points of leader Atletico Madrid.
11,"May 3, 2021 5:07:07 pm","
Shaw-Shikhar continue to sizzle as Capitals subdue Kings and move to top of the table
",https://indianexpress.com/article/sports/ipl/shaw-shikhar-continue-to-sizzle-as-capitals-subdue-kings-and-move-to-top-of-the-table-7299631/,Dhawan anchors Delhi’s chase after stand-in-captain bails Punjab out of trouble
12,"May 3, 2021 5:07:07 pm","
German football chief urged to resign over Nazi remark
",https://indianexpress.com/article/sports/football/german-football-chief-resign-nazi-remark-7299561/,"The 64-year-old Keller has faced heavy criticism across German sport since comparing vice president Rainer Koch to Freisler, one of the Nazis responsible for the organization of the Holocaust, at a federation meeting on April 23.
"
13,"May 3, 2021 5:07:07 pm","
Ajax claim record-extending Eredivisie title after thumping win over Emmen
",https://indianexpress.com/article/sports/football/ajax-eredivisie-2020-21-champions-7299557/,Ajax retain the title it won two years ago after the championship was called off in the 2019/20 season due to the COVID-19 pandemic.
14,"May 3, 2021 5:07:07 pm","
Inter Milan win Serie A after 11 years: How the title was won under Antonio Conte
",https://indianexpress.com/article/sports/football/inter-milan-serie-a-2020-21-champions-how-the-title-was-won-7299548/,An early exit from the UEFA Champions League meant that Inter was the only team in Serie A's top seven that had no European distractions remaining.
15,"May 3, 2021 5:07:07 pm","
Manchester United-Liverpool match called off after fans storm stadium in protest
",https://indianexpress.com/article/sports/football/manchester-united-fans-old-trafford-protest-vs-liverpool-7299542/,The anti-Glazer movement has gained momentum in recent weeks following Manchester United's failed attempt to form part of a breakaway European Super League last month.
16,"May 3, 2021 5:07:07 pm","
Lewis Hamilton wins Portuguese GP, extends lead over Max Verstappen
",https://indianexpress.com/article/sports/motor-sport/lewis-hamilton-wins-portuguese-gp-extends-lead-over-max-verstappen-7299531/,"Hamilton started from second on the grid behind teammate Valtteri Bottas, who finished third behind Verstappen's Red Bull and took a bonus point for the fastest lap."
17,"May 3, 2021 5:07:07 pm","
SRH have a number of leaders, it’s vital we stay tight: Williamson on Warner
",https://indianexpress.com/article/sports/ipl/williamson-warner-ipl-2021-rr-vs-srh-comments-7299474/,David Warner was stripped of his side's captaincy on Saturday after SRH lost five out of its first six matches.
18,"May 3, 2021 5:07:07 pm","
Jos Buttler adds to Sunrisers Hyderabad’s misery
",https://indianexpress.com/article/sports/ipl/jos-buttler-adds-to-sunrisers-misery-7299457/,Buttler’s strength and Mustafizur’s subtlety swamp Hyderabad 
19,"May 3, 2021 5:07:07 pm","
CSK defend MS Dhoni’s last-ball field placement, Brad Hogg points out ‘advantage’ by non-striker
",https://indianexpress.com/article/sports/ipl/csk-vs-mi-ms-dhoni-last-ball-field-kieron-pollard-7299420/,"Kieron Pollard won the game for MI after taking a couple of runs off the last ball, for which CSK surprisingly had no fielders inside the circle on the leg side."
20,"May 3, 2021 5:07:07 pm","
Hope Manchester United’s progress can convince Pogba, Cavani to stay: Solskjaer
",https://indianexpress.com/article/sports/football/ole-gunnar-solskjaer-pogba-cavani-manchester-united-comments-7299225/,"The contract of Paul Pogba is set to run out in 2022. On the other hand, Edinson Cavani arrived at Manchester United on a one-year contract in October with an option of another 12 months."
21,"May 3, 2021 5:07:07 pm","
IPL 2021, PBKS vs DC Highlights: Dhawan’s unbeaten 69 helps DC beat PBKS by 7 wickets
",https://indianexpress.com/article/sports/ipl/ipl-2021-pbks-vs-dc-live-cricket-score-online-7299262/,"IPL 2021, PBKS vs DC Highlights: Mayank Agarwal's unbeaten 99 went in vain as Delhi Capitals won the match by seven wickets"
22,"May 3, 2021 5:07:07 pm","
KL Rahul hospitalised with acute appendicitis, to undergo surgery
",https://indianexpress.com/article/sports/ipl/kl-rahul-hospitalised-after-getting-diagnosed-with-acute-appendicitis-to-undergo-surgery-punjab-kings-ipl-2021-7299237/,Punjab Kings skipper KL Rahul will undergo surgery and it is unlikely he will be back in action for the remainder of the IPL 2021 season. 
23,"May 3, 2021 5:07:07 pm","
Saba Karim joins Delhi Capitals as head of talent search
",https://indianexpress.com/article/sports/ipl/saba-karim-delhi-capitals-head-of-talent-search-appointment-7299245/,The 53-year-old Karim played 34 ODIs apart from a single Test between mid-90s to early 2000 before a freak eye injury ended his playing career.
24,"May 3, 2021 5:07:07 pm","
James Neesham hits out at trolls after his golden duck in MI’s record run chase
",https://indianexpress.com/article/sports/ipl/james-neesham-mi-vs-csk-golden-duck-twitter-trolls-7299140/,James Neesham clarified on Twitter that he would rather get out on a golden duck instead of remaining unbeaten for a personal record.
25,"May 3, 2021 5:07:07 pm","
David Warner is disappointed but SRH had to make hard call: Tom Moody
",https://indianexpress.com/article/sports/ipl/david-warner-srh-captaincy-hard-call-tom-moody-7299109/,"Under David Warner, Sunrisers Hyderabad lost five out of six matches and he himself hasn't been in the greatest of form which led to Kane Williamson being handed the reins."
26,"May 2, 2021 3:31:17 pm","
Steve Smith’s decision to stay back at IPL surprised me a little: Mark Taylor
",https://indianexpress.com/article/sports/ipl/steve-smith-ipl-2021-surprising-decision-mark-taylor-7299093/,"Andrew Tye, Adam Zampa and Kane Richardson returned to Australia from the IPL as India's fresh COVID-19 cases hit record highs."
27,"May 2, 2021 3:31:17 pm","
IPL 2021, RR vs SRH Highlights: Buttler’s first IPL century keeps Hyderabad at bottom of table
",https://indianexpress.com/article/sports/ipl/ipl-2021-rr-vs-srh-live-cricket-score-online-7298956/,"IPL 2021 Live Score, RR vs SRH Highlights: Sunrisers Hyderabad are still at the bottom of the points table with just one win from 7 matches."
28,"May 2, 2021 3:31:17 pm","
Preview: Star-studded RCB stand in way of KKR revival
",https://indianexpress.com/article/sports/ipl/preview-star-studded-rcb-stand-in-way-of-kkr-revival-7298911/,"From leading the table with four wins on the trot, the Virat Kohli-led team has slipped to third spot at the halfway stage after suffering two defeats from their last three matches."
29,"May 2, 2021 3:31:17 pm","
Messi backs social media boycott by English football
",https://indianexpress.com/article/sports/football/messi-backs-social-media-boycott-by-english-football-7298875/,Lionel Messi has used his social media platform with 200 million followers to call for action against online abuse
30,"May 2, 2021 3:31:17 pm","
IPL 2021, RR vs SRH, PBKS vs DC Playing 11: No Rahul for Punjab, Delhi unchanged
",https://indianexpress.com/article/sports/ipl/rr-vs-srh-pbks-vs-dc-predicted-playing-11-ipl-2021-live-updates-7298807/,"IPL 2021, RR vs SRH, PBKS vs DC Playing 11: Punjab Kings are aiming for a fourth win of the season against an in-form Delhi Capitals in Ahmedabad in the second contest of the doubleheader Sunday."
31,"May 2, 2021 3:31:17 pm","
Delhi mourns the loss of football administrator DK Bose
",https://indianexpress.com/article/sports/football/delhi-mourns-the-loss-of-football-administrator-dk-bose-7298735/,"Dilip Kumar Bose passed away on Saturday evening at a hospital in Delhi. He was admitted to the Indian Spinal Injury Centre, Vasant Kunj."
